title,artist,top genre,year,bpm,energy,danceability,live,valence,duration,acousticness,speechiness,popularity
Cashin' Out,Ca$h Out,atl hip hop,2012,130,67,83,6,66,239,15,7,54
Come Over,Kenny Chesney,contemporary country,2012,176,70,47,7,48,248,10,4,54
We Run The Night,Havana Brown,australian dance,2012,127,86,70,41,70,228,0,14,52
"Work Hard, Play Hard",Wiz Khalifa,hip hop,2012,140,68,81,25,47,221,10,6,47
Heart Attack,Trey Songz,dance pop,2012,150,87,60,18,46,235,6,14,38
Locked out of Heaven,Bruno Mars,dance pop,2013,144,70,73,31,87,233,5,4,89
Counting Stars,OneRepublic,piano rock,2013,122,71,66,12,47,258,7,4,86
Wake Me Up,Avicii,dance pop,2013,124,78,53,16,64,247,0,5,85
When I Was Your Man,Bruno Mars,dance pop,2013,73,28,61,9,39,214,93,4,85
Demons,Imagine Dragons,modern rock,2013,90,71,50,27,42,178,19,3,84
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,pop rap,2013,146,93,63,10,88,258,3,8,84
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,13,44,243,34,5,84
Summertime Sadness,Lana Del Rey,art pop,2013,112,65,56,12,24,265,5,3,83
Hall of Fame (feat. will.i.am),The Script,celtic rock,2013,85,87,42,12,63,203,7,6,82
Safe And Sound,Capital Cities,metropopolis,2013,118,82,66,10,77,193,0,3,81
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,electro,2013,116,81,79,10,86,248,4,4,81
Love Me,Lil Wayne,hip hop,2013,125,63,67,9,50,255,1,3,81
Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,2013,129,84,61,12,44,213,11,5,81
Ho Hey,The Lumineers,folk-pop,2013,80,47,69,9,35,163,79,3,81
Radioactive,Imagine Dragons,modern rock,2013,136,78,45,67,24,187,10,6,80
Beauty And A Beat,Justin Bieber,canadian pop,2013,128,84,60,7,53,228,0,6,80
Mirrors,Justin Timberlake,dance pop,2013,77,51,57,9,51,484,23,5,79
Swimming Pools (Drank),Kendrick Lamar,conscious hip hop,2013,74,45,69,9,20,248,1,26,79
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,pop rap,2013,95,53,78,5,67,236,6,29,79
